thai word,native word,word1,word2,word3,word4
กล้วยน้ำว้า,ก้วยไต้,ก้วย,ไต้,,
กล้วยหอม,ก้วยค้าว,ก้วย,ค้าว,,
กระท้อน,บ่าตื๋น,บ่า,ตื๋น,,
ตะขบไทย,บ่าเกว๋นควาย,บ่า,เกว๋น,ควาย,
ทับทิม,บ่าก๊อ,บ่า,ก๊อ,,
น้อยหน่า,บ่าหน้อแหน้,บ่า,หน่อ,แหน้,
พุทรา,บ่าตัน,บ่า,ตัน,,
ฝรั่ง,บ่าก้วย,บ่า,ก้วย,,
มะปราง,บ่าฝาง,บ่า,ฝาง,,
มะพลับ,บ่ากั๋บตอง,บ่า,กั๋บ,ตอง,
มะละกอ,บ่าก้วยเต้ด,บ่า,ก้วย,เต้ด,
สับปะรด,บ่าขะนั๋ด,บ่า,ขะ,นั๋ด,
กระชาย,หัวละแอน,หัว,ละ,แอน,
กระเพรา,ก้อมก้อกำ,ก้อม,ก้อ,กำ,
กระเทียม1,หอมขาว,หอม,ขาว,,
กระเทียม2,หอมเตียม,หอม,เตียม,,
ข้าวโพด,ข้าวสาลี,ข้าว,สา,ลี,
ไข่น้ำ,ผำ,ผำ,,,
ตะไคร้,จั๋กไค,จั๋ก,ไค,,
ถั่วฝักยาว,มะถั่ว,มะ,ถั่ว,,
ถั่วลันเตา,ถั่วน้อย,ถั่ว,น้อย,,
ถั่วลิสง,ถั่วดิน,ถั่ว,ดิน,,
น้ำเต้า,มะน้ำ,มะ,น้ำ,,
บวบ,มะนอย,มะ,นอย,,
ใบชะพลู1,ผักแค,ผัก,แค,,
ใบชะพลู2,ผักปูลิง,ผัก,ปู,ลิง,
ใบบัวบก,ผักหนอก,ผัก,หนอก,,
ใบแมงลัก,ก้อมก้อขาว,ก้อม,ก้อ,ขาว,
ใบยอ,ใบมะต๋า,ใบ,มะ,ต๋า,เสือ
พริกขี้หนู,พิ่กแต้,พิ่ก,แต้,,
พริกสด,พิ่กหนุ่ม,พิ่ก,หนุ่ม,,
ผักกระเฉด,ผั๋กหนอง,ผั๋ก,หนอง,,
ผักกุยช่าย,หอมแป้น,หอม,แป้น,,
ผักขึ้นฉ่าย,ผั๋กก๋ำปืน,ผั๋ก,ก๋ำ,ปืน,
ผักชะอม,ผั๋กล๋ะ,ผั๋ก,ล๋ะ,,
ผักชี,หอมป้อม,หอม,ป้อม,,
ผักชีฝรั่ง,หอมป้อมเป้อ,หอม,ป้อม,เป้อ,
ผักตำลึง,ผั๋กแคบ,ผั๋ก,แคบ,,
เพกา,มะลิ่ดไม้,มะ,ลิ่ด,ไม้,
ฟัก,มะฟักหม่น,มะ,ฟัก,หม่น,
ฟักทอง,มะฟักแก้ว,มะ,ฟัก,แก้ว,
มะกรูด,มะขูด,มะ,ขูด,,
มะเขือพวง,มะแคว้ง,มะ,แคว้ง,,
มะเขือเทศ,มะเขือส้ม,มะ,เขือ,ส้ม,
มะตูม,มะผิน,มะ,ผิน,,
มะระ,มะห่อย,มะ,ห่อย,,
มะรุม,มะค้อนก้อม,มะ,ค้อน,ก้อม,
มันแกว1,มันแก๋วลาว,มัน,แก๋ว,ลาว,
มันแกว2,มันแก๋วละ,มัน,แก๋ว,ละ,แวก
มันเทศ,มันแก๋ว,มัน,แก๋ว,,
มันฝรั่ง,มันอะลู,มัน,อะ,ลู,
มันสำปะหลัง,มันต้าง,มัน,ต้าง,,
สะเดา,สะเลียม,สะ,เลียม,,
สะระแหน่,หอมด่วน,หอม,ด่วน,,
หัวหอม1,หอมแดง,หอม,แดง,,
หัวหอม2,หอมบั่ว,หอม,บั่ว,,
